00;USA;U.S.A. & Canada
01;USA;U.S.A. & Canada
02;USA;U.S.A. & Canada
03;USA;U.S.A. & Canada
04;USA;U.S.A. & Canada
05;USA;U.S.A. & Canada
06;USA;U.S.A. & Canada
07;USA;U.S.A. & Canada
08;USA;U.S.A. & Canada
09;USA;U.S.A. & Canada
10;USA;U.S.A. & Canada
11;USA;U.S.A. & Canada
12;USA;U.S.A. & Canada
13;USA;U.S.A. & Canada
30;FRA;France
31;FRA;France
32;FRA;France
33;FRA;France
34;FRA;France
35;FRA;France
36;FRA;France
37;FRA;France
380;BGR;Bulgaria
383;SVN;Slovenia
385;HRV;Croatia
387;BIH;Bosnia-Herzegovina
400;DEU;Germany
401;DEU;Germany
402;DEU;Germany
403;DEU;Germany
404;DEU;Germany
405;DEU;Germany
406;DEU;Germany
407;DEU;Germany
408;DEU;Germany
409;DEU;Germany
410;DEU;Germany
411;DEU;Germany
412;DEU;Germany
413;DEU;Germany
414;DEU;Germany
415;DEU;Germany
416;DEU;Germany
417;DEU;Germany
418;DEU;Germany
419;DEU;Germany
420;DEU;Germany
421;DEU;Germany
422;DEU;Germany
423;DEU;Germany
424;DEU;Germany
425;DEU;Germany
426;DEU;Germany
427;DEU;Germany
428;DEU;Germany
429;DEU;Germany
430;DEU;Germany
431;DEU;Germany
432;DEU;Germany
433;DEU;Germany
434;DEU;Germany
435;DEU;Germany
436;DEU;Germany
437;DEU;Germany
438;DEU;Germany
439;DEU;Germany
440;DEU;Germany
45;JPN;Japan
49;JPN;Japan
460;RUS;Russian Federation
461;RUS;Russian Federation
462;RUS;Russian Federation
463;RUS;Russian Federation
464;RUS;Russian Federation
465;RUS;Russian Federation
466;RUS;Russian Federation
467;RUS;Russian Federation
468;RUS;Russian Federation
469;RUS;Russian Federation
471;TWN;Taiwan
474;EST;Eesti Estonia
475;LVA;Latvia
476;AZE;Azerbaijan
477;LTU;Lithuania
478;UZB;Uzbekistan
479;LKA;Sri Lanka
480;PHL;PANC Philippines
481;BLR;Belarus
482;UKR;Ukraine
484;MDA;Moldova
485;ARM;Armenia
486;GEO;Georgia
487;KAZ;Kazakhstan
489;HKG;Hong Kong
50;GBR;United Kingdom
520;GRC;Greece
521;GRC;Greece
528;LBN;Lebanon
529;CYP;Cyprus
531;MKD;Macedonia
535;MLT;Malta
539;IRL;Ireland
54;BEL;Belgium/Luxembourg
560;PRT;Portugal
569;ISL;Iceland
57;DNK;Danmark
590;POL;Poland
594;ROU;Romania
599;HUN;Hungary
600;ZAF;South Africa
601;ZAF;South Africa
609;MUS;Mauritius
611;MAR;Marocco
613;DZA;Algeria
616;KRN;Kenya
619;TUN;Tunisia
621;SYR;Syria
622;EGY;Egypt
624;BOL;Libya
625;JOR;Jordan
626;IRN;Iran
627;KWT;Kuwait
628;SAU;Saudi Arabia
629;ARE;Emirates
64;FIN;Finland
690;CHN;China
691;CHN;China
692;CHN;China
693;CHN;China
694;CHN;China
695;CHN;China
696;CHN;China
697;CHN;China
698;CHN;China
699;CHN;China
70;NOR;Norge Norway
729;ISR;Israel
73;SWE;Sweden
740;GTM;Guatemala
741;SLV;El Salvador
742;HND;Honduras
743;NIC;Nikaragua
744;CRI;Costa Rica
745;PAN;Panama
746;DOM;Republica Dominicana
750;MEX;Mexico
759;VEN;Venezuela
76;CHE;Schweiz, Suisse, Svizzera
770;COL;IAC Colombia
771;COL;IAC Colombia
773;URY;Uruguay
775;PER;Peru
777;BOL;Bolivia
778;ARG;Argentina
779;ARG;Argentina
780;CHL;Chile
784;PRY;Paraguay
786;ECU;Ecuador
789;BRA;Brazil
790;BRA;Brazil
80;ITA;Italy
81;ITA;Italy
82;ITA;Italy
83;ITA;Italy
84;ESP;Spain
850;CUB;Cuba
858;SVK;Slovakia
859;CZE;Czech
860;MKD;Yugoslavia
867;PRK;North Korea
868;TUR;Turkey
869;TUR;Turkey
87;NLD;Nederland Netherlands
880;KOR;Korea South Korea
885;THA;Thailand
888;SGP;Singapore
890;IND;India
893;VNM;Vietnam
899;IDN;Indonesia
90;AUT;Austria
91;AUT;Austria
93;AUS;Australia
94;NZL;New Zealand
955;MYS;Malaysia
958;MAC;Macau
